ntips	nhidden	rep	mean_time	median_time	method
256	1	3	24.0916861	23.559625	tensorphylo
256	1	3	158.5597264	154.5600165	hisse
512	1	3	48.6715674	47.811535	tensorphylo
512	1	3	286.549902	283.523077	hisse
1024	1	3	104.0327399	98.524845	tensorphylo
1024	1	3	592.2375216	569.0097875	hisse
32	2	3	4.6004173	4.579618	tensorphylo
32	2	3	29.397615	28.3232305	hisse
64	2	3	8.0036428	7.946702	tensorphylo
64	2	3	60.3176297	59.239752	hisse
128	2	3	16.4132389	16.274458	tensorphylo
128	2	3	98.3222271	98.8291675	hisse
256	2	3	30.0502161	29.5405615	tensorphylo
256	2	3	169.859228	170.434417	hisse
512	2	3	59.0318779	57.490487	tensorphylo
512	2	3	270.5415709	264.848274	hisse
1024	2	3	127.7696202	122.792745	tensorphylo
1024	2	3	548.4865241	538.0283425	hisse
32	3	3	5.6440518	5.6340765	tensorphylo
32	3	3	34.2127821	33.3632375	hisse
64	3	3	9.1444473	8.944929	tensorphylo
64	3	3	46.3466706	45.6214585	hisse
128	3	3	18.484563	18.475584	tensorphylo
128	3	3	90.7759434	90.831851	hisse
256	3	3	36.9165804	36.262819	tensorphylo
256	3	3	159.6428767	164.2566395	hisse
512	3	3	73.1752666	72.02183	tensorphylo
512	3	3	309.3019828	303.352645	hisse
1024	3	3	144.0375346	137.701616	tensorphylo
1024	3	3	527.0429747	511.425226	hisse
32	4	3	5.4742503	5.4191955	tensorphylo
32	4	3	29.4180781	28.986959	hisse
64	4	3	12.2966093	12.165356	tensorphylo
64	4	3	55.4215901	53.9588085	hisse
128	4	3	20.367898	19.9905135	tensorphylo
128	4	3	80.0669648	77.310584	hisse
256	4	3	45.0142977	44.612961	tensorphylo
256	4	3	160.3859525	156.622419	hisse
512	4	3	93.827721	92.1598615	tensorphylo
512	4	3	308.1515146	286.7768165	hisse
1024	4	3	174.0596124	167.2406195	tensorphylo
1024	4	3	548.7672593	543.324538	hisse
32	5	3	7.4073593	7.381394	tensorphylo
32	5	3	31.9627882	31.3623965	hisse
64	5	3	13.4730141	13.352675	tensorphylo
64	5	3	58.3019139	57.363797	hisse
128	5	3	25.9238736	25.8827875	tensorphylo
128	5	3	88.7273948	88.552251	hisse
256	5	3	50.6693498	50.1625775	tensorphylo
256	5	3	158.9499562	158.980165	hisse
512	5	3	105.9369275	104.540939	tensorphylo
512	5	3	272.8320687	268.8229985	hisse
1024	5	3	202.6144027	198.1291995	tensorphylo
1024	5	3	537.3295713	508.3029325	hisse
32	6	3	9.0444934	9.013112	tensorphylo
32	6	3	36.6610848	35.3631355	hisse
64	6	3	15.3348733	15.345521	tensorphylo
64	6	3	53.3879491	53.789827	hisse
128	6	3	31.6703516	31.4311945	tensorphylo
128	6	3	96.8621638	97.448595	hisse
256	6	3	60.3929754	59.965042	tensorphylo
256	6	3	158.5436749	155.753219	hisse
512	6	3	111.8942562	110.743173	tensorphylo
512	6	3	263.9066024	251.1677835	hisse
1024	6	3	243.1385034	237.630014	tensorphylo
1024	6	3	513.8793179	515.096202	hisse
32	7	3	10.1891765	10.1279225	tensorphylo
32	7	3	38.0835347	37.425907	hisse
64	7	3	17.0608544	17.0279765	tensorphylo
64	7	3	55.67554	54.1142805	hisse
128	7	3	29.7323062	29.491669	tensorphylo
128	7	3	77.2980667	76.9273775	hisse
256	7	3	67.2697127	66.9552345	tensorphylo
256	7	3	153.8120863	157.1338735	hisse
512	7	3	126.7226524	125.677218	tensorphylo
512	7	3	275.6044641	274.89147	hisse
1024	7	3	265.2811725	261.662615	tensorphylo
1024	7	3	511.1725102	503.5293025	hisse
32	8	3	10.2947843	10.2738415	tensorphylo
32	8	3	34.3892912	33.999291	hisse
64	8	3	18.0410045	18.05681	tensorphylo
64	8	3	59.562504	57.4091635	hisse
128	8	3	35.9379596	35.8636635	tensorphylo
128	8	3	89.3237275	90.041904	hisse
256	8	3	77.849857	77.3390585	tensorphylo
256	8	3	172.0796486	165.767756	hisse
512	8	3	143.1017711	142.993199	tensorphylo
512	8	3	268.3303384	267.902282	hisse
1024	8	3	303.3940058	297.707806	tensorphylo
1024	8	3	562.0035517	565.2190915	hisse
32	9	3	11.6411423	11.5300405	tensorphylo
32	9	3	30.2403372	28.884992	hisse
64	9	3	18.4904342	18.4451415	tensorphylo
64	9	3	49.1249536	49.250389	hisse
128	9	3	38.9126572	38.823884	tensorphylo
128	9	3	85.6212389	84.589642	hisse
256	9	3	82.6249425	82.393477	tensorphylo
256	9	3	154.4498823	154.7570215	hisse
512	9	3	162.4729919	160.976619	tensorphylo
512	9	3	290.9848515	289.5736725	hisse
1024	9	3	331.4931016	327.9780445	tensorphylo
1024	9	3	557.1365729	531.9616135	hisse
32	0	4	2.4022064	2.390915	tensorphylo
32	0	4	24.4406863	22.9227105	hisse
64	0	4	4.1042681	4.0657035	tensorphylo
64	0	4	40.2133494	40.2598065	hisse
128	0	4	8.1194473	8.0693945	tensorphylo
128	0	4	58.2437021	57.3429485	hisse
256	0	4	16.6461394	16.2081405	tensorphylo
256	0	4	103.8425983	99.223813	hisse
512	0	4	34.6828348	33.545462	tensorphylo
512	0	4	181.3287402	187.6472625	hisse
1024	0	4	72.8430313	66.999289	tensorphylo
1024	0	4	405.1113978	413.606688	hisse
32	1	4	2.918749	2.8390245	tensorphylo
32	1	4	34.6017573	32.985894	hisse
64	1	4	6.1660269	6.0818785	tensorphylo
64	1	4	52.5199668	51.8268085	hisse
128	1	4	10.8008063	10.7915075	tensorphylo
128	1	4	81.6975348	80.466313	hisse
256	1	4	25.6237331	25.1580305	tensorphylo
256	1	4	151.9009697	153.1348155	hisse
512	1	4	51.2981094	50.0000945	tensorphylo
512	1	4	299.9210311	302.6570185	hisse
1024	1	4	104.6902323	98.977198	tensorphylo
1024	1	4	550.7209257	553.443789	hisse
32	2	4	3.8279527	3.7680025	tensorphylo
32	2	4	39.5256851	38.7969675	hisse
64	2	4	6.7122371	6.5928615	tensorphylo
64	2	4	60.4728639	59.618469	hisse
128	2	4	14.5702274	14.3672405	tensorphylo
128	2	4	90.25781	94.1436055	hisse
256	2	4	32.7441867	32.350845	tensorphylo
256	2	4	169.4781207	173.9234555	hisse
512	2	4	67.6632389	67.027169	tensorphylo
512	2	4	270.7164318	260.3577285	hisse
1024	2	4	124.7543449	118.567982	tensorphylo
1024	2	4	553.125875	547.1562545	hisse
32	3	4	4.3142127	4.2745165	tensorphylo
32	3	4	30.8931638	30.084406	hisse
64	3	4	9.5941968	9.4690525	tensorphylo
64	3	4	55.3558343	55.0535905	hisse
128	3	4	17.7817205	17.5653635	tensorphylo
128	3	4	91.2243522	91.6028355	hisse
256	3	4	34.6304409	34.1527335	tensorphylo
256	3	4	179.2726394	177.861198	hisse
512	3	4	70.0457284	68.684635	tensorphylo
512	3	4	277.2673298	278.812669	hisse
1024	3	4	153.2667576	147.736858	tensorphylo
1024	3	4	588.6177136	573.7377435	hisse
32	4	4	6.6288021	6.595342	tensorphylo
32	4	4	29.6855457	28.5271645	hisse
64	4	4	11.0930215	11.051714	tensorphylo
64	4	4	57.5551932	56.302471	hisse
128	4	4	20.285201	20.2993255	tensorphylo
128	4	4	87.4296505	86.810694	hisse
256	4	4	41.5476657	41.4056335	tensorphylo
256	4	4	150.1380476	150.928093	hisse
512	4	4	88.7783414	87.3961535	tensorphylo
512	4	4	283.5169967	282.2637005	hisse
1024	4	4	181.5924973	176.219804	tensorphylo
1024	4	4	587.1954974	587.418562	hisse
32	5	4	5.5273371	5.4968495	tensorphylo
32	5	4	39.6102968	38.126515	hisse
64	5	4	13.9148711	13.9763875	tensorphylo
64	5	4	56.707592	56.2126605	hisse
128	5	4	25.4994744	25.529388	tensorphylo
128	5	4	77.8541989	76.385583	hisse
256	5	4	53.4249926	53.112261	tensorphylo
256	5	4	156.9610872	159.676509	hisse
512	5	4	99.0721376	96.957497	tensorphylo
512	5	4	270.7862917	266.033789	hisse
