ntips	nstates	ncores	rep	mean_time	median_time	method
32	16	3	3	2.3154217	2.3000795	tensorphylo
32	16	4	3	1.8685709	1.8513755	tensorphylo
32	32	1	3	5.5555246	5.561937	tensorphylo
32	32	2	3	5.2194886	5.2025105	tensorphylo
32	32	3	3	3.9495833	3.928825	tensorphylo
32	32	4	3	2.9232631	2.84458	tensorphylo
32	64	1	3	18.9844637	18.996038	tensorphylo
32	64	2	3	10.8860371	10.9430845	tensorphylo
32	64	3	3	11.4726077	11.4254085	tensorphylo
32	64	4	3	8.4280912	8.42796	tensorphylo
32	128	1	3	59.572139	59.579519	tensorphylo
32	128	2	3	40.648425	40.578561	tensorphylo
32	128	3	3	31.7046604	31.690335	tensorphylo
32	128	4	3	20.3743719	20.345553	tensorphylo
64	2	1	3	1.4776277	1.441191	tensorphylo
64	2	2	3	3.2869372	3.2485325	tensorphylo
64	2	3	3	3.3930698	3.3440625	tensorphylo
64	2	4	3	3.1872539	2.582713	tensorphylo
64	4	1	3	2.1913065	2.152664	tensorphylo
64	4	2	3	3.1143272	3.0889195	tensorphylo
64	4	3	3	3.8192279	3.8006385	tensorphylo
64	4	4	3	3.3549726	3.090785	tensorphylo
64	8	1	3	2.8052036	2.778201	tensorphylo
64	8	2	3	4.2379199	4.213898	tensorphylo
64	8	3	3	4.4505869	4.423121	tensorphylo
64	8	4	3	3.2691801	2.969507	tensorphylo
64	16	1	3	6.0786682	6.0944655	tensorphylo
64	16	2	3	5.1491941	5.1208795	tensorphylo
64	16	3	3	4.9743865	4.9389215	tensorphylo
64	16	4	3	3.8586699	3.712837	tensorphylo
64	32	1	3	11.6687107	11.659047	tensorphylo
64	32	2	3	11.0001524	10.9626005	tensorphylo
64	32	3	3	6.7790138	6.7399695	tensorphylo
64	32	4	3	5.5746347	5.5125115	tensorphylo
64	64	1	3	35.5513911	35.622768	tensorphylo
64	64	2	3	23.7756089	23.745724	tensorphylo
64	64	3	3	19.6596599	19.7083105	tensorphylo
64	64	4	3	12.4654801	12.3859975	tensorphylo
64	128	1	3	125.0015872	124.82204	tensorphylo
64	128	2	3	74.9893403	74.8651185	tensorphylo
64	128	3	3	46.7733904	46.612039	tensorphylo
64	128	4	3	32.7915704	32.6397515	tensorphylo
128	2	1	3	3.1413216	3.0772755	tensorphylo
128	2	2	3	6.2268709	6.161849	tensorphylo
128	2	3	3	6.8335397	6.748231	tensorphylo
128	2	4	3	7.5616792	6.371605	tensorphylo
128	4	1	3	4.198482	4.133866	tensorphylo
128	4	2	3	6.6206349	6.533965	tensorphylo
128	4	3	3	6.2918846	6.1569495	tensorphylo
128	4	4	3	6.0416944	5.816301	tensorphylo
128	8	1	3	7.1039101	7.049663	tensorphylo
128	8	2	3	8.06921	7.989752	tensorphylo
128	8	3	3	6.7677634	6.639253	tensorphylo
128	8	4	3	6.7221386	6.4793325	tensorphylo
128	16	1	3	11.6864473	11.651175	tensorphylo
128	16	2	3	11.3024864	11.200503	tensorphylo
128	16	3	3	8.2968748	8.21558	tensorphylo
128	16	4	3	6.9391475	6.878488	tensorphylo
128	32	1	3	23.3570768	23.401201	tensorphylo
128	32	2	3	15.7547461	15.576474	tensorphylo
128	32	3	3	9.0264493	8.9453185	tensorphylo
128	32	4	3	8.744029	8.6187125	tensorphylo
128	64	1	3	75.2977095	75.0270685	tensorphylo
128	64	2	3	43.0446249	42.9874135	tensorphylo
128	64	3	3	35.2667937	35.183248	tensorphylo
128	64	4	3	23.2684471	23.1906455	tensorphylo
128	128	1	3	228.666922	228.790127	tensorphylo
128	128	2	3	116.4729476	116.4287455	tensorphylo
128	128	3	3	88.8397635	88.7414045	tensorphylo
128	128	4	3	70.7040449	70.486503	tensorphylo
256	2	1	3	7.0583222	6.8300055	tensorphylo
256	2	2	3	13.7971847	13.5639275	tensorphylo
256	2	3	3	13.0191851	12.782078	tensorphylo
256	2	4	3	12.6141133	12.421524	tensorphylo
256	4	1	3	8.2278185	8.0272875	tensorphylo
256	4	2	3	12.6779257	12.464615	tensorphylo
256	4	3	3	13.1900854	12.9928795	tensorphylo
256	4	4	3	11.7145733	11.4250805	tensorphylo
256	8	1	3	13.8069345	13.615772	tensorphylo
256	8	2	3	15.7314868	15.269097	tensorphylo
256	8	3	3	12.4053741	12.012098	tensorphylo
256	8	4	3	11.7771598	11.483198	tensorphylo
256	16	1	3	22.7314865	22.5994255	tensorphylo
256	16	2	3	12.726646	12.395735	tensorphylo
256	16	3	3	10.8003471	10.562748	tensorphylo
256	16	4	3	7.0659113	6.774758	tensorphylo
256	32	1	3	50.8969326	50.4553175	tensorphylo
256	32	2	3	29.6061205	28.081761	tensorphylo
256	32	3	3	24.7634383	25.856855	tensorphylo
256	32	4	3	18.5685802	19.137365	tensorphylo
256	64	1	3	147.2200407	146.8144195	tensorphylo
256	64	2	3	77.1283882	76.7960135	tensorphylo
256	64	3	3	56.4598946	56.2782605	tensorphylo
256	64	4	3	47.6726188	48.353391	tensorphylo
256	128	1	3	396.450484	395.591329	tensorphylo
256	128	2	3	221.191597	219.863033	tensorphylo
256	128	3	3	170.4251838	170.1184915	tensorphylo
256	128	4	3	128.3646204	128.037916	tensorphylo
512	2	1	3	12.9994969	12.2460235	tensorphylo
512	2	2	3	28.5935271	28.128747	tensorphylo
512	2	3	3	26.2248218	25.4982485	tensorphylo
512	2	4	3	26.3029104	25.13259	tensorphylo
512	4	1	3	17.4748355	16.6069885	tensorphylo
512	4	2	3	12.2648507	11.3379965	tensorphylo
512	4	3	3	10.1285785	9.350501	tensorphylo
512	4	4	3	9.9694452	9.0218655	tensorphylo
512	8	1	3	27.2673124	26.2217345	tensorphylo
512	8	2	3	17.0010641	15.9675935	tensorphylo
512	8	3	3	13.5562113	12.751738	tensorphylo
512	8	4	3	11.4382333	10.292148	tensorphylo
512	16	1	3	47.1084465	45.8359295	tensorphylo
512	16	2	3	27.3831169	26.5931125	tensorphylo
512	16	3	3	20.3615881	19.6704265	tensorphylo
512	16	4	3	15.5373231	14.6733055	tensorphylo
512	32	1	3	97.5776548	96.7675645	tensorphylo
512	32	2	3	53.0823351	52.415261	tensorphylo
512	32	3	3	37.8896129	37.051864	tensorphylo
512	32	4	3	29.5138008	28.6264665	tensorphylo
512	64	1	3	283.2654617	280.659883	tensorphylo
512	64	2	3	158.7817947	157.5709745	tensorphylo
512	64	3	3	115.2499996	114.4457395	tensorphylo
512	64	4	3	90.5858838	88.3538725	tensorphylo
512	128	1	3	889.7434518	887.094409	tensorphylo
