ntips	nstates	this_algo	error	rep	mean_time	median_time	algo
1024	8	0	9.48321624873756	2	16.3951538	16.2720595	EULER
32	16	0	0.189147451814051	2	0.8322713	0.821476	EULER
64	16	0	1.19805595912118	2	1.3889201	1.398838	EULER
128	16	0	0.645585103129577	2	1.7617495	1.766198	EULER
256	16	0	1.77731954958574	2	4.3308956	4.338251	EULER
512	16	0	5.9884632429729	2	8.471953	8.5212145	EULER
1024	16	0	9.73439267028152	2	17.6293317	17.714706	EULER
32	32	0	0.305866871537965	2	0.9853243	0.974775	EULER
64	32	0	0.951239549048722	2	1.2132597	1.208475	EULER
128	32	0	1.08833225848531	2	2.6332783	2.6308265	EULER
256	32	0	3.3153693789094	2	4.7929369	4.775516	EULER
512	32	0	3.41504292508671	2	10.098546	10.126098	EULER
1024	32	0	13.0946075493389	2	18.7148723	18.7732645	EULER
32	2	1	1.86726987629687	2	1.6086391	1.5990615	RUNGE_KUTTA4
64	2	1	3.68907678215446	2	3.0160092	2.976641	RUNGE_KUTTA4
128	2	1	7.74449385004132	2	6.0154995	5.9837245	RUNGE_KUTTA4
256	2	1	13.6059367952424	2	10.0441144	10.042171	RUNGE_KUTTA4
512	2	1	27.719997628207	2	21.3353545	20.8110875	RUNGE_KUTTA4
1024	2	1	57.3242171074678	2	41.6289933	41.3416735	RUNGE_KUTTA4
32	4	1	1.8393882832314	2	1.6876379	1.682189	RUNGE_KUTTA4
64	4	1	3.48823631075045	2	2.5339189	2.527363	RUNGE_KUTTA4
128	4	1	7.9379810899137	2	5.2319526	5.22545	RUNGE_KUTTA4
256	4	1	15.667799128419	2	8.7555459	8.7102245	RUNGE_KUTTA4
512	4	1	29.1315173184419	2	18.524825	18.529827	RUNGE_KUTTA4
1024	4	1	55.9622192840732	2	42.6856494	42.6479335	RUNGE_KUTTA4
32	8	1	1.95090529709577	2	2.0672241	2.059266	RUNGE_KUTTA4
64	8	1	3.31952992282598	2	3.3052027	3.2830135	RUNGE_KUTTA4
128	8	1	6.84482804080525	2	5.574565	5.506792	RUNGE_KUTTA4
256	8	1	14.2009756658343	2	13.2539142	13.1530255	RUNGE_KUTTA4
512	8	1	27.3752089604804	2	27.5708231	27.53929	RUNGE_KUTTA4
1024	8	1	56.9407105925079	2	51.7663458	51.513671	RUNGE_KUTTA4
32	16	1	1.46963100299018	2	1.995019	1.985384	RUNGE_KUTTA4
