ntips	nstates	ncores	rep	mean_time	median_time	method
64	4	3	2	3.375653	3.2302055	tensorphylo
64	4	4	2	4.0604924	4.7595875	tensorphylo
64	8	1	2	1.3580184	1.3177195	tensorphylo
64	8	2	2	2.9994288	2.956551	tensorphylo
64	8	3	2	3.9935107	3.887538	tensorphylo
64	8	4	2	4.9471543	4.865019	tensorphylo
64	16	1	2	1.6164127	1.5755275	tensorphylo
64	16	2	2	3.5484434	3.4933845	tensorphylo
64	16	3	2	3.3718564	3.0217	tensorphylo
64	16	4	2	5.5994889	6.0883975	tensorphylo
64	32	1	2	1.8154595	1.771241	tensorphylo
64	32	2	2	4.1354035	4.0965355	tensorphylo
64	32	3	2	3.2422554	3.149046	tensorphylo
64	32	4	2	4.3770862	4.2335575	tensorphylo
128	2	1	2	1.9446341	1.866648	tensorphylo
128	2	2	2	6.7708343	6.690421	tensorphylo
128	2	3	2	6.1350555	5.9896695	tensorphylo
128	2	4	2	5.9792514	5.9003715	tensorphylo
128	4	1	2	2.2237375	2.138396	tensorphylo
128	4	2	2	6.1384216	6.0520715	tensorphylo
128	4	3	2	7.0193476	6.8818705	tensorphylo
128	4	4	2	10.6534031	10.946508	tensorphylo
128	8	1	2	2.2963854	2.2125855	tensorphylo
128	8	2	2	6.4085747	6.3065175	tensorphylo
128	8	3	2	6.7631632	6.6149605	tensorphylo
128	8	4	2	6.5165236	5.8355095	tensorphylo
128	16	1	2	2.8043631	2.722646	tensorphylo
128	16	2	2	6.5170033	6.436959	tensorphylo
128	16	3	2	6.3347829	6.2193515	tensorphylo
128	16	4	2	10.1133552	10.03516	tensorphylo
128	32	1	2	3.8505191	3.763431	tensorphylo
128	32	2	2	7.4278511	7.34064	tensorphylo
128	32	3	2	7.9572677	7.338918	tensorphylo
128	32	4	2	6.1898971	6.115068	tensorphylo
256	2	1	2	4.171422	3.933007	tensorphylo
256	2	2	2	13.14747	12.9562665	tensorphylo
256	2	3	2	17.3899286	18.641839	tensorphylo
256	2	4	2	12.5072632	11.7912105	tensorphylo
256	4	1	2	4.3531094	4.1283925	tensorphylo
256	4	2	2	12.6644777	12.462852	tensorphylo
256	4	3	2	14.1145411	13.8495335	tensorphylo
256	4	4	2	18.8637023	21.4791415	tensorphylo
256	8	1	2	5.1968648	4.9516315	tensorphylo
256	8	2	2	4.3217649	3.933868	tensorphylo
256	8	3	2	4.4801848	4.1116645	tensorphylo
256	8	4	2	4.9107258	4.5553665	tensorphylo
256	16	1	2	6.061276	5.8121395	tensorphylo
256	16	2	2	5.1185589	4.7340035	tensorphylo
256	16	3	2	4.6894775	4.4652895	tensorphylo
256	16	4	2	4.8429651	4.497454	tensorphylo
256	32	1	2	7.8871003	7.6491445	tensorphylo
256	32	2	2	6.2666245	6.047951	tensorphylo
256	32	3	2	4.9905036	4.765799	tensorphylo
256	32	4	2	5.5370992	5.3094385	tensorphylo
512	2	1	2	8.8039505	8.0617275	tensorphylo
512	2	2	2	7.9891288	7.0736275	tensorphylo
512	2	3	2	9.2631423	8.363508	tensorphylo
512	2	4	2	10.2063186	9.02123	tensorphylo
512	4	1	2	9.6874185	8.930333	tensorphylo
512	4	2	2	13.299047	7.9191295	tensorphylo
512	4	3	2	28.9094198	28.0552955	tensorphylo
512	4	4	2	22.8025928	8.9495825	tensorphylo
512	8	1	2	9.9487484	9.1783215	tensorphylo
512	8	2	2	9.0625826	8.113531	tensorphylo
512	8	3	2	9.4029359	8.4696775	tensorphylo
512	8	4	2	9.7381765	8.827915	tensorphylo
512	16	1	2	12.6782619	11.7079395	tensorphylo
512	16	2	2	10.2832182	9.3371965	tensorphylo
512	16	3	2	9.2026058	8.4145735	tensorphylo
512	16	4	2	10.4148938	9.635041	tensorphylo
512	32	1	2	15.3145332	14.3269785	tensorphylo
512	32	2	2	11.7491404	10.812151	tensorphylo
512	32	3	2	30.0614624	29.1961	tensorphylo
512	32	4	2	42.9941662	46.4677805	tensorphylo
1024	2	1	2	20.0127191	16.6057585	tensorphylo
1024	2	2	2	18.6973038	15.58041	tensorphylo
