ntips	nstates	this_algo	error	rep	mean_time	median_time	algo
256	32	2	0.000133671174182837	1	6.8146182	6.7901535	SEQUENTIAL_BRANCHWISE
512	32	2	0.000300717619325042	1	14.7749855	14.4896255	SEQUENTIAL_BRANCHWISE
1024	32	2	0.000533519688360684	1	28.7855383	28.255601	SEQUENTIAL_BRANCHWISE
32	2	0	9.00046332051117	2	0.1151116	0.1087935	AUTO_TUNING
64	2	0	0.629185074558336	2	0.7739242	0.767274	AUTO_TUNING
128	2	0	1.8139849487325	2	1.6225545	1.6157075	AUTO_TUNING
256	2	0	4.24574774006163	2	3.0087645	2.9599745	AUTO_TUNING
512	2	0	4.90951865131183	2	5.6873355	5.701296	AUTO_TUNING
1024	2	0	8.36484468010076	2	13.6105117	13.725816	AUTO_TUNING
32	4	0	10.2702841587776	2	0.0913275	0.0836195	AUTO_TUNING
64	4	0	0.400992332007675	2	0.7136624	0.6970205	AUTO_TUNING
128	4	0	1.45714152060387	2	1.5774504	1.557221	AUTO_TUNING
256	4	0	2.04817121175353	2	3.0883127	3.098944	AUTO_TUNING
512	4	0	6.20259715294367	2	6.0439945	5.880343	AUTO_TUNING
1024	4	0	6.14823801966031	2	13.7017326	13.2671695	AUTO_TUNING
32	8	0	10.5485075371951	2	0.1073667	0.1014955	AUTO_TUNING
64	8	0	1.13645795473116	2	1.095028	1.0846345	AUTO_TUNING
128	8	0	0.868353425972373	2	1.8915063	1.854758	AUTO_TUNING
256	8	0	2.63549767225857	2	3.2977284	3.2774375	AUTO_TUNING
512	8	0	2.57717648819448	2	7.9397771	7.9946925	AUTO_TUNING
1024	8	0	8.52434002563041	2	15.6875553	15.5437765	AUTO_TUNING
32	16	0	10.334992346591	2	0.1302037	0.1218315	AUTO_TUNING
64	16	0	0.631739911875997	2	1.0109739	1.0035775	AUTO_TUNING
128	16	0	0.00718555795162956	2	2.4030223	2.391858	AUTO_TUNING
256	16	0	2.75546649973234	2	4.0153678	3.991801	AUTO_TUNING
512	16	0	5.58339096701377	2	8.0289193	8.0183085	AUTO_TUNING
1024	16	0	7.43671214314372	2	17.2380646	17.198598	AUTO_TUNING
32	32	0	8.25154493613444	2	0.2115641	0.2041185	AUTO_TUNING
64	32	0	0.631835472553959	2	1.2860798	1.2809835	AUTO_TUNING
128	32	0	0.940788071113531	2	2.3823009	2.3859745	AUTO_TUNING
256	32	0	1.90937814955942	2	4.9241041	4.944969	AUTO_TUNING
512	32	0	3.23955184470196	2	10.3248332	10.3346855	AUTO_TUNING
1024	32	0	10.1135320984581	2	20.8727474	20.62218	AUTO_TUNING
32	2	1	10.1237009647279	2	0.2799275	0.2724245	SEQUENTIAL_OPTIMIZED
64	2	1	29.5586184627991	2	0.393723	0.387491	SEQUENTIAL_OPTIMIZED
128	2	1	91.083740644349	2	0.551655	0.5400315	SEQUENTIAL_OPTIMIZED
256	2	1	215.817775571471	2	0.9065305	0.895727	SEQUENTIAL_OPTIMIZED
512	2	1	561.201127739129	2	1.6084997	1.5970935	SEQUENTIAL_OPTIMIZED
