ntips	nstates	rep	true	likelihood	error	mean_time	median_time	method
64	32	2	-75.3300874438651	-75.3301209188737	3.34750086352642e-05	1.8064395	1.768904	tensorphylo
128	32	2	-161.283380499775	-161.2720107813	0.0113697184742136	461.6740794	462.5405365	castor
128	32	2	-161.283380499775	-161.28338412718	3.6274059311836e-06	7.6080912	7.573684	diversitree
128	32	2	-161.283380499775	-161.283457001132	7.6501357170855e-05	3.3506512	3.2970355	tensorphylo
256	32	2	-314.573791918131	-314.57068722258	0.0031046955505758	918.2769549	919.8683535	castor
256	32	2	-314.573791918131	-314.573802283531	1.03653997598485e-05	16.043505	16.037601	diversitree
256	32	2	-314.573791918131	-314.573912705804	0.000120787673040468	6.4469015	6.441961	tensorphylo
512	32	2	-611.797554373635	-611.777446268404	0.0201081052318841	702.0012005	703.1814265	castor
512	32	2	-611.797554373635	-611.797569482855	1.5109219475562e-05	32.2714239	30.9375545	diversitree
512	32	2	-611.797554373635	-611.797805678637	0.000251305001825131	12.3083148	12.1474595	tensorphylo
1024	32	2	-1329.53879297812	-1329.51407812517	0.0247148529560945	937.9034417	939.4410155	castor
1024	32	2	-1329.53879297812	-1329.53883009091	3.71127887319744e-05	64.9601704	62.933852	diversitree
1024	32	2	-1329.53879297812	-1329.53940582315	0.000612845024988928	26.7436399	26.381696	tensorphylo
32	2	3	-60.5595811573483	-60.5597863449719	0.000205187623592451	3.2184303	3.1941665	castor
32	2	3	-60.5595811573483	-60.5595823030004	1.14565215625362e-06	0.5228443	0.5129715	diversitree
32	2	3	-60.5595811573483	-60.5596163618547	3.520450641048e-05	0.9166739	0.9100155	tensorphylo
64	2	3	-83.8346668329844	-83.8330338522241	0.00163298076023466	3.3307949	3.3033085	castor
64	2	3	-83.8346668329844	-83.8346680805409	1.24755656827347e-06	0.9934997	0.9853735	diversitree
64	2	3	-83.8346668329844	-83.8346955949064	2.87619220387114e-05	1.1590495	1.1542935	tensorphylo
128	2	3	-173.898268623887	-173.887173254499	0.0110953693878457	3.5175171	3.5008055	castor
128	2	3	-173.898268623887	-173.898270768116	2.14422911426482e-06	2.0260273	2.0205825	diversitree
128	2	3	-173.898268623887	-173.898341307116	7.26832288364676e-05	2.2030284	2.2086495	tensorphylo
256	2	3	-307.552747700909	-307.550211685295	0.00253601561450978	4.0024364	3.9886235	castor
256	2	3	-307.552747700909	-307.552752339302	4.63839319309045e-06	4.1091061	4.106068	diversitree
256	2	3	-307.552747700909	-307.552881552752	0.00013385184291792	3.9870286	3.951211	tensorphylo
512	2	3	-702.036159981116	-702.030641924261	0.00551805685529416	4.2525815	4.2671775	castor
512	2	3	-702.036159981116	-702.036169560341	9.5792253205218e-06	8.660594	8.3821015	diversitree
512	2	3	-702.036159981116	-702.036462803643	0.000302822527032731	8.8864056	8.8719285	tensorphylo
1024	2	3	-1341.25513111781	-1341.25078958167	0.00434153614128263	4.8856256	4.819468	castor
1024	2	3	-1341.25513111781	-1341.25514949006	1.83722511337692e-05	18.9315819	17.806874	diversitree
1024	2	3	-1341.25513111781	-1341.25571280711	0.000581689302634913	17.2966249	17.225207	tensorphylo
32	4	3	-29.8582055258489	-29.8580505589977	0.000154966851145133	4.0944691	4.086675	castor
32	4	3	-29.8582055258489	-29.8582061452394	6.19390522871299e-07	0.5944508	0.581339	diversitree
32	4	3	-29.8582055258489	-29.8582157052623	1.0179413489908e-05	0.5264072	0.5245335	tensorphylo
64	4	3	-81.554907682086	-81.5547059898709	0.000201692215128446	5.488916	5.4808185	castor
64	4	3	-81.554907682086	-81.554909458978	1.77689192071284e-06	1.2178804	1.2179255	diversitree
64	4	3	-81.554907682086	-81.5549405131069	3.28310208175253e-05	1.1883768	1.1893075	tensorphylo
128	4	3	-170.302851608171	-170.29927999956	0.00357160861130978	5.4352962	5.4183755	castor
128	4	3	-170.302851608171	-170.302854356562	2.74839095482093e-06	2.3673728	2.3602265	diversitree
128	4	3	-170.302851608171	-170.3029306202	7.90120286922047e-05	2.2876032	2.2826135	tensorphylo
256	4	3	-294.229880457377	-294.224130388464	0.00575006891318708	5.6826123	5.6788895	castor
256	4	3	-294.229880457377	-294.229887591755	7.13437759713997e-06	4.7762827	4.7810715	diversitree
256	4	3	-294.229880457377	-294.230019933035	0.000139475658158972	4.0473929	4.044281	tensorphylo
512	4	3	-698.906980411856	-698.90944963967	0.00246922781366266	7.9924006	8.011359	castor
512	4	3	-698.906980411856	-698.906998432416	1.80205601054695e-05	10.0437741	9.801214	diversitree
512	4	3	-698.906980411856	-698.907280825986	0.000300414129810633	8.3231025	8.309634	tensorphylo
1024	4	3	-1355.66338987466	-1355.64072578549	0.0226640891760326	8.5473971	8.4932525	castor
1024	4	3	-1355.66338987466	-1355.66342089501	3.10203472508874e-05	20.209187	19.4964635	diversitree
1024	4	3	-1355.66338987466	-1355.6639810764	0.000591201737279334	16.5805107	16.5100235	tensorphylo
32	8	3	-50.1270465060027	-50.1245317135305	0.0025147924722404	11.3024003	11.177912	castor
32	8	3	-50.1270465060027	-50.1270479342571	1.42825439297667e-06	0.8428575	0.840459	diversitree
32	8	3	-50.1270465060027	-50.1270695214317	2.30154289653228e-05	0.9929831	0.996095	tensorphylo
64	8	3	-73.2958514714097	-73.2935193416167	0.00233212979303232	11.1571742	11.102964	castor
64	8	3	-73.2958514714097	-73.2958532919765	1.82056673736497e-06	1.5873765	1.5729035	diversitree
64	8	3	-73.2958514714097	-73.2958805677484	2.90963386504473e-05	1.3530205	1.350786	tensorphylo
128	8	3	-166.962435294486	-166.959992561476	0.0024427330098149	15.26553	15.2961775	castor
128	8	3	-166.962435294486	-166.962439735641	4.44115445930038e-06	3.2095661	3.215179	diversitree
128	8	3	-166.962435294486	-166.962520621425	8.53269386880129e-05	2.7664586	2.7463645	tensorphylo
256	8	3	-318.015795149721	-318.011296306471	0.00449884325041694	15.6012831	15.4780535	castor
256	8	3	-318.015795149721	-318.015804243826	9.09410425720125e-06	6.2514053	6.2191465	diversitree
256	8	3	-318.015795149721	-318.015926742769	0.000131593048081413	4.9025299	4.918155	tensorphylo
512	8	3	-625.729377666458	-625.71872193741	0.0106557290481533	16.1134551	16.166382	castor
512	8	3	-625.729377666458	-625.729393225999	1.55595409978559e-05	13.0193532	12.667237	diversitree
512	8	3	-625.729377666458	-625.729672841858	0.000295175400765402	9.588834	9.516469	tensorphylo
1024	8	3	-1366.63550973556	-1366.63051578711	0.00499394845019197	24.8088745	24.6779615	castor
1024	8	3	-1366.63550973556	-1366.63554985139	4.01158263230172e-05	26.0364309	25.3525755	diversitree
1024	8	3	-1366.63550973556	-1366.63608248271	0.000572747147089103	20.0368517	19.4847785	tensorphylo
32	16	3	-43.0159921541578	-43.012535428413	0.00345672574484013	59.4318001	59.0477695	castor
32	16	3	-43.0159921541578	-43.0159934546758	1.30051800795172e-06	1.3055917	1.306957	diversitree
32	16	3	-43.0159921541578	-43.0160155620585	2.34079007128685e-05	0.9848364	0.9805355	tensorphylo
64	16	3	-80.8903141450888	-80.8887082388446	0.00160590624426504	87.6502715	87.742624	castor
64	16	3	-80.8903141450888	-80.8903162416198	2.0965310199017e-06	2.4992001	2.498868	diversitree
64	16	3	-80.8903141450888	-80.8903615560844	4.74109956201119e-05	1.5904146	1.581452	tensorphylo
128	16	3	-179.473482432867	-179.468423260205	0.00505917266207234	89.7241868	89.762694	castor
128	16	3	-179.473482432867	-179.473487250998	4.81813168562439e-06	5.1417813	5.1483495	diversitree
128	16	3	-179.473482432867	-179.473559467808	7.70349412846372e-05	3.2759902	3.2772735	tensorphylo
256	16	3	-328.317417897604	-328.310608011131	0.00680988647275171	90.5705047	90.6511435	castor
256	16	3	-328.317417897604	-328.317426299078	8.40147384906231e-06	9.9730942	9.9023815	diversitree
256	16	3	-328.317417897604	-328.317563952218	0.000146054613537672	5.8581538	5.8952465	tensorphylo
512	16	3	-650.243259039234	-650.235104265302	0.00815477393189212	91.2142908	91.772555	castor
512	16	3	-650.243259039234	-650.243274845534	1.58062991886254e-05	20.3791648	20.198445	diversitree
512	16	3	-650.243259039234	-650.243530072307	0.000271033073090621	12.2151505	11.228342	tensorphylo
1024	16	3	-1332.31027098065	-1332.29541150756	0.0148594730933382	122.5160401	122.8773895	castor
1024	16	3	-1332.31027098065	-1332.31031026264	3.92819897570007e-05	41.8173842	40.4428715	diversitree
1024	16	3	-1332.31027098065	-1332.31084521962	0.00057423897010267	23.6746792	23.920138	tensorphylo
32	32	3	-50.207571348685	-50.2073837792523	0.000187569432711143	691.4627983	693.3372035	castor
32	32	3	-50.207571348685	-50.2075730851823	1.73649726775693e-06	2.1001184	2.103956	diversitree
32	32	3	-50.207571348685	-50.2075967296031	2.53809180534859e-05	1.8485342	1.321717	tensorphylo
64	32	3	-59.564730273964	-59.5628646183875	0.00186565557654461	462.7803701	463.611928	castor
64	32	3	-59.564730273964	-59.5647315417295	1.26776543396545e-06	3.7873791	3.77282	diversitree
64	32	3	-59.564730273964	-59.5647652426251	3.49686610547906e-05	1.6092787	1.60843	tensorphylo
128	32	3	-188.372941510324	-188.375260779612	0.00231926928788084	916.4202412	919.2021855	castor
128	32	3	-188.372941510324	-188.372947967262	6.45693791057056e-06	8.1693156	8.134236	diversitree
128	32	3	-188.372941510324	-188.37303947523	9.7964905904746e-05	3.8371121	3.7861245	tensorphylo
256	32	3	-307.652070264243	-307.648343168867	0.00372709537532501	919.2731565	919.7411715	castor
256	32	3	-307.652070264243	-307.65207747544	7.21119778290813e-06	15.4217851	15.4567335	diversitree
256	32	3	-307.652070264243	-307.652203313135	0.000133048891882481	6.3778944	6.368817	tensorphylo
512	32	3	-670.247560671012	-670.237587872038	0.00997279897410408	924.9992575	923.5207155	castor
512	32	3	-670.247560671012	-670.247579657626	1.89866140090089e-05	32.1709124	31.43593	diversitree
512	32	3	-670.247560671012	-670.247852406844	0.000291735832092854	13.9300985	13.979196	tensorphylo
1024	32	3	-1330.3845463883	-1330.37075765834	0.0137887299561044	1159.0587332	1159.6902275	castor
1024	32	3	-1330.3845463883	-1330.38458995491	4.35666170233162e-05	65.0979468	63.710269	diversitree
1024	32	3	-1330.3845463883	-1330.38515042251	0.000604034216166838	26.9575328	27.159261	tensorphylo
32	2	4	-33.8197851724117	-33.8161499323766	0.00363524003510207	2.7183697	2.692921	castor
32	2	4	-33.8197851724117	-33.8197859463142	7.73902485207145e-07	0.5195684	0.5093225	diversitree
32	2	4	-33.8197851724117	-33.819802117712	1.69453002456521e-05	0.6400961	0.6361765	tensorphylo
64	2	4	-84.3233029849464	-84.3180822708852	0.00522071406122393	2.8970067	2.8559575	castor
64	2	4	-84.3233029849464	-84.3233041895564	1.20460991581695e-06	1.0722976	1.0657745	diversitree
64	2	4	-84.3233029849464	-84.3233405974303	3.7612483851035e-05	1.1999142	1.1966465	tensorphylo
128	2	4	-170.006107443868	-169.996244363875	0.00986307999298219	3.5355489	3.523868	castor
128	2	4	-170.006107443868	-170.006109513891	2.07002332786033e-06	2.0781219	2.077634	diversitree
128	2	4	-170.006107443868	-170.006188244987	8.08011193385028e-05	2.2085921	2.2063535	tensorphylo
256	2	4	-318.918800264615	-318.910752029849	0.00804823476630645	4.0546786	4.007791	castor
