ntips	nstates	rep	likelihood	mean_time	median_time	method
256	31	2	-952.197783714841	73.7237318	73.7999385	tensorphylo
256	31	2	-350.367095804594	360.9554925	361.555343	diversitree
512	31	2	-1875.04416399339	141.7760238	141.829127	tensorphylo
512	31	2	-670.93570392418	707.158611	708.2812935	diversitree
1024	31	2	-3134.25382246338	264.310559	262.7453225	tensorphylo
1024	31	2	-1356.3895672302	1405.4538174	1405.048106	diversitree
32	64	2	-99.2444328043979	21.0481372	21.1418345	tensorphylo
32	64	2	NA	NA	NA	diversitree
64	64	2	-223.051273359557	40.9760232	40.536126	tensorphylo
64	64	2	NA	NA	NA	diversitree
128	64	2	-384.070660944131	76.719692	76.264346	tensorphylo
128	64	2	NA	NA	NA	diversitree
256	64	2	-596.787265311442	173.916875	173.1749595	tensorphylo
256	64	2	NA	NA	NA	diversitree
512	64	2	-1689.75441758516	344.4923197	346.7312805	tensorphylo
512	64	2	NA	NA	NA	diversitree
1024	64	2	-3066.16895329382	706.4993843	708.111574	tensorphylo
1024	64	2	NA	NA	NA	diversitree
32	128	2	-153.931463742644	68.8241498	68.7228675	tensorphylo
32	128	2	NA	NA	NA	diversitree
64	128	2	-228.315212041656	141.1852138	140.841068	tensorphylo
64	128	2	NA	NA	NA	diversitree
128	128	2	-511.050229135994	254.6603931	255.4440015	tensorphylo
128	128	2	NA	NA	NA	diversitree
256	128	2	-755.305970732781	467.0553622	466.889591	tensorphylo
256	128	2	NA	NA	NA	diversitree
512	128	2	-1428.01541812263	1099.5560441	1095.511759	tensorphylo
512	128	2	NA	NA	NA	diversitree
1024	128	2	-2962.87585533723	1885.1206361	1884.0152105	tensorphylo
1024	128	2	NA	NA	NA	diversitree
32	2	3	-91.5362899463671	1.4518264	1.421798	tensorphylo
32	2	3	-53.9835405238839	0.5983786	0.5898465	diversitree
64	2	3	-183.633095638008	2.0636161	2.103587	tensorphylo
64	2	3	-72.6661266587875	1.1622147	1.152182	diversitree
128	2	3	-258.327543483333	4.327222	4.3079725	tensorphylo
128	2	3	-168.943291187718	2.3938711	2.380583	diversitree
256	2	3	-583.901650128585	8.3913798	8.3832495	tensorphylo
256	2	3	-330.884702719223	4.7358772	4.6856235	diversitree
512	2	3	-1254.05276783469	16.8383269	16.8443785	tensorphylo
512	2	3	-657.320160679921	9.7439452	9.418889	diversitree
1024	2	3	-1901.19815713329	33.3727413	33.633817	tensorphylo
1024	2	3	-1316.23258655272	20.2545658	19.387014	diversitree
32	4	3	-57.7372139244023	1.2093442	1.2038215	tensorphylo
32	4	3	-32.9606182708212	0.8009063	0.7896395	diversitree
64	4	3	-156.227005517315	2.9560959	2.955854	tensorphylo
64	4	3	-82.4439078074334	1.5765566	1.57112	diversitree
128	4	3	-325.832293925759	5.7694298	5.7717955	tensorphylo
128	4	3	-171.892514991539	3.1971882	3.20579	diversitree
256	4	3	-833.706821601799	11.0002508	10.9756795	tensorphylo
256	4	3	-309.975682746682	6.445733	6.325152	diversitree
512	4	3	-1073.02987384638	20.595202	20.6236765	tensorphylo
512	4	3	-678.70452691364	13.2371739	12.9405635	diversitree
1024	4	3	-2153.6000565317	42.8495797	42.7181665	tensorphylo
1024	4	3	-1431.211873647	27.286607	25.776782	diversitree
32	8	3	-147.697446250908	2.4769002	2.4592005	tensorphylo
32	8	3	-43.9787395535738	1.8062181	1.7787645	diversitree
64	8	3	-221.987712026185	3.4463206	3.456833	tensorphylo
64	8	3	-59.8038269573803	3.3585806	3.3697285	diversitree
128	8	3	-458.645564625718	9.1570384	9.14792	tensorphylo
128	8	3	-166.607776009975	7.0169942	7.0108565	diversitree
256	8	3	-791.001035084596	17.63656	17.560382	tensorphylo
256	8	3	-330.268153846984	14.0935286	13.9631855	diversitree
512	8	3	-1294.13344014519	35.623137	35.449789	tensorphylo
512	8	3	-673.340307570093	29.5622874	28.4003925	diversitree
1024	8	3	-3050.30365646526	74.4661844	74.2556125	tensorphylo
1024	8	3	-1391.98860461955	60.683116	56.376066	diversitree
32	16	3	-131.272110152341	4.7947122	4.783306	tensorphylo
32	16	3	-48.422950982892	7.6973933	7.687131	diversitree
64	16	3	-194.838452258946	9.0037025	9.0153055	tensorphylo
64	16	3	-93.1341609280036	15.8246593	15.832519	diversitree
128	16	3	-372.547349549382	14.7228991	14.71859	tensorphylo
128	16	3	-172.927896687589	30.1080015	29.250261	diversitree
256	16	3	-768.903538677116	30.4436029	30.450044	tensorphylo
256	16	3	-343.579185579659	61.6676162	59.513591	diversitree
512	16	3	-1586.50772724261	55.6037326	55.5100435	tensorphylo
512	16	3	-634.725875976169	121.6647366	123.094628	diversitree
1024	16	3	-2753.46811117356	118.6934092	118.451542	tensorphylo
1024	16	3	-1363.98658358652	244.56008	243.6725735	diversitree
32	31	3	-143.338805985111	10.4638232	10.3779405	tensorphylo
32	31	3	-45.3499565847538	43.6243649	42.5087385	diversitree
64	31	3	-262.912939478437	19.3107458	19.1027405	tensorphylo
64	31	3	-89.6179846638379	91.2267794	92.8202895	diversitree
128	31	3	-362.837678582901	36.0829684	36.2186005	tensorphylo
128	31	3	-177.525080121529	179.3212162	179.7344265	diversitree
256	31	3	-963.673636100028	77.7465411	78.2267905	tensorphylo
256	31	3	-363.662383344039	363.149505	362.693339	diversitree
512	31	3	-1536.38066356738	129.4496977	129.435934	tensorphylo
512	31	3	-630.412870160515	683.1325577	684.0939995	diversitree
1024	31	3	-3147.6336917224	295.5853139	291.2682435	tensorphylo
1024	31	3	-1385.05863098252	1416.4540641	1410.583024	diversitree
32	64	3	-88.6181878054417	25.6696572	25.9736435	tensorphylo
32	64	3	NA	NA	NA	diversitree
64	64	3	-210.132810926226	40.8057666	40.864331	tensorphylo
64	64	3	NA	NA	NA	diversitree
128	64	3	-397.264868740155	80.2747323	79.841268	tensorphylo
128	64	3	NA	NA	NA	diversitree
256	64	3	-659.240882291574	176.0502485	178.1157875	tensorphylo
256	64	3	NA	NA	NA	diversitree
512	64	3	-1908.54773624747	367.014493	363.5699805	tensorphylo
512	64	3	NA	NA	NA	diversitree
1024	64	3	-3881.19524421976	697.9895432	698.797645	tensorphylo
1024	64	3	NA	NA	NA	diversitree
32	128	3	-149.369839078903	86.1657517	86.103198	tensorphylo
32	128	3	NA	NA	NA	diversitree
64	128	3	-275.338192067064	153.7530586	153.632002	tensorphylo
64	128	3	NA	NA	NA	diversitree
128	128	3	-327.943853799813	233.2010013	232.647202	tensorphylo
128	128	3	NA	NA	NA	diversitree
256	128	3	-1016.00114011208	509.7309953	509.5131295	tensorphylo
256	128	3	NA	NA	NA	diversitree
512	128	3	-1727.35814182774	991.8047846	990.7234465	tensorphylo
512	128	3	NA	NA	NA	diversitree
1024	128	3	-3132.91718895385	1907.7323083	1926.395168	tensorphylo
1024	128	3	NA	NA	NA	diversitree
32	2	4	-43.8967985728012	1.0525561	1.0457665	tensorphylo
32	2	4	-37.4000757635117	0.5529547	0.5457305	diversitree
64	2	4	-113.32704981447	2.2642865	2.2573985	tensorphylo
64	2	4	-82.5893083429913	1.120202	1.110526	diversitree
128	2	4	-306.740279028102	4.5061706	4.5237965	tensorphylo
128	2	4	-187.188676549463	2.2967052	2.272876	diversitree
256	2	4	-521.924063234477	8.1391765	8.0875575	tensorphylo
256	2	4	-313.114601296932	4.5089381	4.4571715	diversitree
512	2	4	-1088.85162720886	15.9559659	15.965564	tensorphylo
512	2	4	-675.326800945704	9.2562871	8.996835	diversitree
1024	2	4	-1991.23150955279	32.9278134	33.101514	tensorphylo
1024	2	4	-1312.67827386582	20.4823085	18.9658825	diversitree
32	4	4	-75.2321374423242	1.2646532	1.255256	tensorphylo
32	4	4	-32.8432245210683	0.7703613	0.765142	diversitree
64	4	4	-180.336455662115	3.3360839	3.335678	tensorphylo
64	4	4	-95.6775070776554	1.5802097	1.571899	diversitree
128	4	4	-320.193518077432	5.4403679	5.435493	tensorphylo
128	4	4	-156.773023378664	3.1610344	3.1620635	diversitree
256	4	4	-562.163458724368	10.2343585	10.243563	tensorphylo
256	4	4	-318.577165269826	6.5582165	6.517319	diversitree
512	4	4	-1067.66658515063	21.5181571	21.4835285	tensorphylo
512	4	4	-659.420733294373	13.4043104	12.8900105	diversitree
1024	4	4	-2431.37988672475	39.7578271	39.5917115	tensorphylo
1024	4	4	-1340.26810131596	26.5449416	25.5140745	diversitree
32	8	4	-105.376060326452	2.5255508	2.525354	tensorphylo
32	8	4	-43.3543824670588	1.7422745	1.72077	diversitree
64	8	4	-238.161322937289	4.9588885	4.9637265	tensorphylo
64	8	4	-88.6121785159111	3.6009931	3.602465	diversitree
128	8	4	-351.622610055932	8.7112618	8.6985395	tensorphylo
128	8	4	-172.320824115791	7.064464	7.108457	diversitree
256	8	4	-554.055753568352	18.3545233	18.388213	tensorphylo
256	8	4	-332.507998853028	14.2298782	14.1455125	diversitree
512	8	4	-1217.04644723106	31.4310592	31.3844545	tensorphylo
512	8	4	-665.698145727851	29.3775496	27.85335	diversitree
1024	8	4	-2755.83039396159	77.0366507	77.319071	tensorphylo
1024	8	4	-1345.43774643914	60.2731898	56.498533	diversitree
32	16	4	-109.663724184696	4.6956275	4.688227	tensorphylo
32	16	4	-45.4747033888075	7.4593801	7.4167565	diversitree
64	16	4	-247.353886662622	6.5738457	6.5667445	tensorphylo
64	16	4	-67.3707522054304	14.594606	14.5384155	diversitree
128	16	4	-253.079755891993	14.4667967	14.4361615	tensorphylo
128	16	4	-167.193175187828	30.8168464	30.0723315	diversitree
256	16	4	-831.778809086085	30.5184689	30.5535075	tensorphylo
256	16	4	-346.839426868002	61.6748568	59.2017245	diversitree
512	16	4	-1557.41441872554	60.0910514	59.232372	tensorphylo
512	16	4	-661.337309067605	124.0339872	124.423602	diversitree
1024	16	4	-2699.18612053545	120.718063	120.6856115	tensorphylo
1024	16	4	-1339.26752455047	244.6508786	245.5468065	diversitree
32	31	4	-62.0950340377029	9.9272398	10.062876	tensorphylo
32	31	4	-43.7010328309797	44.9539293	43.699727	diversitree
64	31	4	-272.153346130438	22.4275207	22.2304255	tensorphylo
64	31	4	-104.195992846687	91.1165222	91.8094345	diversitree
128	31	4	-453.510780352115	39.8019923	41.195898	tensorphylo
128	31	4	-184.2194951622	179.5468064	179.1825665	diversitree
256	31	4	-790.545905740322	75.1192857	75.255623	tensorphylo
256	31	4	-349.835322462454	354.1840432	353.5020615	diversitree
512	31	4	-1622.12187626613	128.3295572	128.4826635	tensorphylo
512	31	4	-646.947960316716	707.8809777	709.584991	diversitree
1024	31	4	-2980.20982558234	296.3176846	298.1330785	tensorphylo
1024	31	4	-1372.09432052698	1426.7990201	1422.861909	diversitree
32	64	4	-154.667637124967	34.4263429	34.8280035	tensorphylo
32	64	4	NA	NA	NA	diversitree
64	64	4	-190.987433036634	39.863521	39.326134	tensorphylo
64	64	4	NA	NA	NA	diversitree
128	64	4	-387.381363359429	81.6611883	81.421818	tensorphylo
128	64	4	NA	NA	NA	diversitree
256	64	4	-965.201078816904	174.7841603	174.794603	tensorphylo
256	64	4	NA	NA	NA	diversitree
512	64	4	-1534.73399057296	312.0743085	311.9490125	tensorphylo
512	64	4	NA	NA	NA	diversitree
1024	64	4	-4102.25467540113	705.1182255	706.4979985	tensorphylo
1024	64	4	NA	NA	NA	diversitree
32	128	4	-154.923160236929	78.9722812	78.9239135	tensorphylo
32	128	4	NA	NA	NA	diversitree
64	128	4	-208.401169096738	127.2545659	127.20988	tensorphylo
